sensor_id,value,timestamp,sensor_type,location
sensor_1,11.81,2025-01-12T08:45:19,strain,Bridge A
sensor_2,24.3,2025-01-12T08:46:19,strain,Building B
sensor_3,37.09,2025-01-12T08:47:19,strain,Tower C
sensor_4,38.31,2025-01-12T08:48:19,temperature,Bridge A
sensor_5,16.42,2025-01-12T08:49:19,vibration,Building B
sensor_1,50.0,2025-01-12T08:50:19,vibration,Tower C
sensor_2,29.92,2025-01-12T08:51:19,strain,Building B
sensor_3,50.0,2025-01-12T08:52:19,vibration,Tower C
sensor_4,74.82,2025-01-12T08:53:19,temperature,Building B
sensor_5,22.81,2025-01-12T08:54:19,temperature,Tower C
sensor_1,92.74,2025-01-12T08:55:19,temperature,Building B
sensor_2,50.0,2025-01-12T08:56:19,vibration,Bridge A
sensor_3,21.33,2025-01-12T08:57:19,vibration,Tower C
sensor_4,24.39,2025-01-12T08:58:19,strain,Building B
sensor_5,27.92,2025-01-12T08:59:19,vibration,Bridge A
sensor_1,50.0,2025-01-12T09:00:19,vibration,Bridge A
sensor_2,2.42,2025-01-12T09:01:19,vibration,Bridge A
sensor_3,23.97,2025-01-12T09:02:19,strain,Tower C
sensor_4,48.46,2025-01-12T09:03:19,strain,Building B
sensor_5,33.53,2025-01-12T09:04:19,strain,Bridge A
sensor_1,50.0,2025-01-12T09:05:19,vibration,Bridge A
sensor_2,28.97,2025-01-12T09:06:19,strain,Tower C
sensor_3,67.02,2025-01-12T09:07:19,strain,Tower C
sensor_4,10.0,2025-01-12T09:08:19,strain,Bridge A
sensor_5,50.0,2025-01-12T09:09:19,vibration,Tower C
sensor_1,50.0,2025-01-12T09:10:19,vibration,Bridge A
sensor_2,68.31,2025-01-12T09:11:19,strain,Bridge A
sensor_3,50.0,2025-01-12T09:12:19,vibration,Bridge A
sensor_4,50.0,2025-01-12T09:13:19,vibration,Bridge A
sensor_5,85.93,2025-01-12T09:14:19,strain,Tower C
sensor_1,96.68,2025-01-12T09:15:19,temperature,Building B
sensor_2,96.28,2025-01-12T09:16:19,strain,Building B
sensor_3,91.63,2025-01-12T09:17:19,strain,Bridge A
sensor_4,38.94,2025-01-12T09:18:19,temperature,Tower C
sensor_5,50.0,2025-01-12T09:19:19,vibration,Building B
sensor_1,40.74,2025-01-12T09:20:19,strain,Building B
sensor_2,50.0,2025-01-12T09:21:19,vibration,Bridge A
sensor_3,90.61,2025-01-12T09:22:19,strain,Building B
sensor_4,64.78,2025-01-12T09:23:19,strain,Bridge A
sensor_5,8.31,2025-01-12T09:24:19,temperature,Bridge A
sensor_1,15.44,2025-01-12T09:25:19,temperature,Bridge A
sensor_2,47.43,2025-01-12T09:26:19,strain,Bridge A
sensor_3,7.96,2025-01-12T09:27:19,temperature,Tower C
sensor_4,75.01,2025-01-12T09:28:19,temperature,Building B
sensor_5,45.69,2025-01-12T09:29:19,vibration,Building B
sensor_1,37.63,2025-01-12T09:30:19,strain,Tower C
sensor_2,83.56,2025-01-12T09:31:19,strain,Bridge A
sensor_3,15.38,2025-01-12T09:32:19,vibration,Bridge A
sensor_4,6.25,2025-01-12T09:33:19,vibration,Bridge A
sensor_5,50.0,2025-01-12T09:34:19,vibration,Bridge A
sensor_1,50.0,2025-01-12T09:35:19,vibration,Tower C
sensor_2,71.03,2025-01-12T09:36:19,strain,Building B
sensor_3,19.52,2025-01-12T09:37:19,strain,Bridge A
sensor_4,12.87,2025-01-12T09:38:19,vibration,Bridge A
sensor_5,36.35,2025-01-12T09:39:19,strain,Tower C
sensor_1,68.97,2025-01-12T09:40:19,strain,Building B
sensor_2,33.91,2025-01-12T09:41:19,vibration,Bridge A
sensor_3,60.05,2025-01-12T09:42:19,temperature,Tower C
sensor_4,17.16,2025-01-12T09:43:19,vibration,Building B
sensor_5,58.02,2025-01-12T09:44:19,temperature,Bridge A
sensor_1,28.92,2025-01-12T09:45:19,temperature,Tower C
sensor_2,76.09,2025-01-12T09:46:19,temperature,Tower C
sensor_3,37.31,2025-01-12T09:47:19,vibration,Tower C
sensor_4,35.84,2025-01-12T09:48:19,strain,Building B
sensor_5,61.31,2025-01-12T09:49:19,temperature,Tower C
sensor_1,24.29,2025-01-12T09:50:19,strain,Bridge A
sensor_2,9.8,2025-01-12T09:51:19,strain,Bridge A
sensor_3,19.1,2025-01-12T09:52:19,strain,Bridge A
sensor_4,50.0,2025-01-12T09:53:19,vibration,Building B
sensor_5,3.14,2025-01-12T09:54:19,strain,Bridge A
sensor_1,0.28,2025-01-12T09:55:19,temperature,Building B
sensor_2,50.0,2025-01-12T09:56:19,vibration,Bridge A
sensor_3,24.84,2025-01-12T09:57:19,temperature,Tower C
sensor_4,56.22,2025-01-12T09:58:19,strain,Tower C
sensor_5,25.62,2025-01-12T09:59:19,strain,Building B
sensor_1,85.81,2025-01-12T10:00:19,temperature,Bridge A
sensor_2,68.48,2025-01-12T10:01:19,strain,Building B
sensor_3,26.53,2025-01-12T10:02:19,strain,Tower C
sensor_4,66.67,2025-01-12T10:03:19,temperature,Building B
sensor_5,65.06,2025-01-12T10:04:19,strain,Bridge A
sensor_1,50.0,2025-01-12T10:05:19,vibration,Tower C
